Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
552739,20,-188,950,2,0,0
552744,20,-192,953,1,0,0
552755,19,-191,955,1,0,0
552800,20,-192,953,2,0,0
552803,20,-192,953,2,0,0
552818,23,-192,950,1,0,0
552863,24,-192,954,1,0,0
552871,24,-192,954,0,0,0
552879,23,-192,956,1,0,0
552920,26,-191,955,1,0,-1
552928,25,-191,956,1,0,0
552938,26,-191,956,1,0,0
552980,25,-190,957,1,0,0
552985,25,-190,957,1,0,0
552997,26,-190,957,1,0,0
553039,24,-191,956,1,0,0
553046,24,-191,955,1,0,0
553058,25,-192,955,1,0,0
553097,20,-192,957,1,0,0
553100,20,-192,957,1,0,0
553112,23,-194,956,2,0,0
553160,21,-196,954,1,0,0
553165,20,-195,959,0,0,0
553178,22,-193,958,0,0,0
553217,24,-196,954,1,0,0
553220,24,-196,954,1,0,0
553235,24,-195,955,1,0,0
553278,23,-195,953,1,0,0
553283,24,-194,954,0,0,0
553294,24,-192,955,0,0,0
553339,24,-192,956,1,0,0
553344,24,-192,955,1,0,0
553355,24,-193,956,1,0,0
553400,24,-194,957,0,0,0
553403,24,-194,957,0,0,0
553415,24,-194,956,1,0,0
553462,24,-196,955,1,0,0
553465,24,-196,955,1,0,0
553480,24,-196,954,1,0,0
553522,25,-196,954,0,0,0
553526,25,-196,954,0,0,0
553538,24,-194,956,0,0,0
553583,25,-195,955,1,0,0
553591,25,-196,955,0,0,0
553605,26,-195,956,0,0,0
553640,25,-193,954,0,0,0
553648,25,-193,955,0,0,0
553663,24,-194,955,1,0,0
553700,25,-194,955,0,0,0
553708,25,-194,955,0,0,0
553720,25,-194,956,0,0,0
553759,25,-194,953,0,0,0
553763,25,-194,953,0,0,0
553776,26,-193,957,0,0,0
553821,25,-194,955,0,0,0
553828,24,-193,957,0,0,0
553840,25,-194,956,1,0,0
553878,26,-195,954,0,0,0
553883,28,-194,956,0,0,0
553895,28,-195,955,0,0,0
553937,27,-192,958,0,0,0
553942,26,-194,958,0,0,0
553951,25,-194,958,1,0,0
553999,25,-193,955,1,0,0
554003,24,-193,954,1,0,0
554011,25,-195,953,1,0,0
554063,25,-196,954,1,0,0
554068,26,-196,953,1,0,0
554079,24,-194,954,0,0,0
554117,26,-195,956,1,0,0
554121,26,-194,956,1,0,0
554129,25,-194,955,1,0,0
554176,26,-195,955,1,0,0
554180,27,-195,954,1,0,0
554191,25,-195,955,1,0,0
554243,26,-195,954,1,0,0
554248,26,-195,955,0,0,0
554259,25,-195,955,0,0,0
554297,24,-195,954,1,0,0
554300,24,-195,954,1,0,0
554314,25,-195,954,1,0,0
554356,25,-195,955,0,0,0
554361,25,-195,955,0,0,0
554375,26,-196,958,1,0,0
554419,25,-194,955,1,0,0
554424,26,-195,956,1,0,0
554432,25,-195,956,1,0,0
554480,25,-195,954,1,0,0
554484,26,-195,956,1,0,0
554492,25,-194,956,0,0,0
554540,26,-196,954,1,0,0
554544,25,-195,955,1,0,0
554560,26,-196,956,0,0,0
554602,25,-195,956,1,0,0
554605,25,-195,956,1,0,0
554613,25,-195,956,1,0,0
554665,23,-195,954,1,0,0
554670,25,-196,956,0,0,0
554679,24,-196,954,1,0,0
554718,25,-196,956,0,0,0
554721,25,-196,956,0,0,0
554737,23,-197,956,1,0,0
554782,24,-197,953,1,0,0
554787,23,-196,954,1,0,0
554795,24,-197,953,1,0,0
554838,25,-196,954,1,0,0
554841,25,-196,954,1,0,0
554857,25,-196,952,1,0,0
554898,26,-195,955,0,0,0
554901,26,-195,955,0,0,0
554910,26,-196,955,1,0,0
554960,25,-196,956,1,0,0
554965,26,-196,955,1,0,0
554973,26,-196,955,1,0,0
555020,25,-196,955,1,0,0
555025,26,-196,955,1,0,0
555033,25,-196,954,1,0,-1
555080,25,-196,956,1,0,0
555084,25,-197,954,1,0,0
555092,25,-196,955,1,0,0
555140,24,-197,954,0,0,0
555147,24,-197,956,0,0,0
555155,25,-197,957,0,0,0
555200,26,-197,956,0,0,0
555206,26,-197,956,0,0,0
555216,26,-197,956,0,0,0
555260,26,-197,955,0,0,0
555263,26,-197,955,0,0,0
555271,27,-196,955,0,0,0
555320,26,-196,954,1,0,0
555323,26,-196,954,1,0,0
555331,26,-197,954,1,0,0
555380,26,-196,955,0,0,0
555383,26,-196,955,0,0,0
555396,25,-197,953,1,0,0
555441,26,-197,955,0,0,0
555454,25,-197,955,1,0,0
555504,25,-197,957,1,0,0
555510,25,-197,957,1,0,0
555520,26,-197,956,1,0,0
555559,26,-197,954,1,0,0
555564,26,-197,955,1,0,0
555575,27,-197,955,1,0,0
555619,25,-197,953,1,0,0
555624,25,-198,955,1,0,0
555635,25,-198,953,0,0,0
555680,25,-197,953,1,0,0
555685,25,-197,953,1,0,0
555696,25,-197,954,1,0,0
555742,24,-197,954,0,0,0
